year_month,Mkt-RF,SMB,HML,RF,MOM,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
192607,    2.96,   -2.30,   -2.87,    0.22,,   3.7782,  -0.4119,  -1.9434,   0.3530,   2.0534,   2.1904,   2.4192,   0.4926,  -1.5770,  -0.3344,   1.9116,   2.4336,   0.0053,   3.4572,  -1.2629,   1.5893,   1.5278,   1.1869,   0.2727,   2.4678,   3.4539,   6.0902,   2.0266,   3.1111,   0.5623,,,,,,,,,,
192608,    2.64,   -1.40,    4.19,    0.25,,  -2.2074,  -8.7275,   2.4404,   0.6086,   8.3968,   2.1709,  -1.1849,   4.0084,   0.4643,   6.1675,  -0.9390,   2.3886,   1.9681,   4.4450,   8.1169,   1.3336,   3.8730,   2.0059,   2.1706,   5.3422,   1.0124,   4.1903,   2.0131,   5.4849,   7.7576,,,,,,,,,,
192609,    0.36,   -1.32,    0.01,    0.23,,  -6.2113,  -0.2989,  -6.1982,  -1.6368,   0.8649,  -1.8550,  -1.2618,   1.0829,  -3.0405,  -0.9401,  -0.3898,   0.1690,  -2.1368,   2.6865,  -3.6215,   1.0923,  -0.5250,  -1.7314,   1.4646,   0.8730,  -1.2906,   3.6538,   0.0950,  -0.7487,  -2.4284,,,,,,,,,,
192610,   -3.24,    0.04,    0.51,    0.32,,  -8.6241,  -3.7532,  -5.6719,   5.7170,  -2.5476,  -1.7995,  -3.2663,  -5.0745,  -8.0450,  -1.3213,  -5.1161,  -2.5583,   0.2670,  -1.9818,  -3.1373,  -3.3361,  -2.6559,  -2.0316,  -3.1051,  -5.3525,  -2.7413,  -3.0071,  -2.2437,  -4.6719,  -5.8129,,,,,,,,,,
192611,    2.53,   -0.20,   -0.35,    0.31,,   3.4744,   6.6476,   2.2634,  -4.7020,   0.5362,   2.9051,  -2.3690,   3.0078,   4.6649,   2.7292,   1.9107,   4.5467,   0.0854,   5.1183,   3.7333,   3.4448,   2.3887,   3.7403,   4.9320,   1.8213,   4.2946,   2.5326,   1.5204,   3.6619,   2.5636,,,,,,,,,,
192612,    2.62,   -0.04,   -0.02,    0.28,,  13.9458,  -1.9772,   0.1384,   3.6213,   0.8556,   3.3002,   4.7507,   1.2089,   2.6527,   5.1980,  -1.3186,   2.3963,  -1.2709,   2.8578,   1.5349,   3.4702,   2.6069,   1.7491,   3.0306,   0.1578,   1.4887,   3.4585,   1.9777,   6.2357,   2.4024,,,,,,,,,,
192701,   -0.06,   -0.56,    4.83,    0.25,   0.44,   0.4474,  -8.2999,  -4.7873,   3.2267,   2.0166,   2.5600,  -4.2365,  -0.0640,  -0.6724,  11.0570,  -0.6319,  -0.2200,  -0.6624,   2.5541,   2.5541,   2.3758,   1.4701,  -0.5123,   0.2313,   7.3063,  -0.7756,   0.3281,  -0.4374,   0.5498,   4.2141,  -3.32,  -4.62,   2.66,  -0.32,  -0.41,   0.96,   0.77,   0.36,  -0.43,  -0.24
192702,    4.18,   -0.10,    3.17,    0.26,  -1.32,   2.4884,  -0.3049,  10.9741,   3.7465,  10.2076,   1.9606,   8.6948,   7.8557,   4.4523,   7.5867,   6.1214,   5.5311,   4.6092,   6.4766,  13.2797,   5.2914,   4.2655,   2.3492,   6.7788,  11.4693,   3.4545,   5.0906,   3.4173,   5.1264,   6.2731,   7.42,   6.04,   6.33,   9.19,   3.80,   4.16,   2.81,   3.28,   4.20,   6.97
192703,    0.13,   -1.60,   -2.67,    0.30,   3.59,   6.3998,  -1.7464,  -7.8293,  -2.3738,  -3.5735,  -1.7896,  -0.5186,  -2.0169,  -0.5881,  -0.5481,   0.5222,  -3.5673,  -0.6606,  -2.1581,  -5.9028,  -2.2017,   0.1638,  -1.3351,  -1.3877,   3.8890,   0.5845,   1.9822,  -0.1206,   0.4765,  -3.8361,  -3.20,  -2.99,  -3.98,  -4.76,  -0.48,  -2.40,   2.10,   0.54,   0.96,   5.47
192704,    0.46,    0.43,    0.60,    0.25,   4.17,   5.8363,   7.8111,   4.0238,   3.5800,   6.4218,  -2.3282,  -4.9472,  -0.2997,  -0.4565,   4.4712,  -2.2887,   1.3977,  -1.5558,   2.3009,   1.7466,  -0.2637,   1.8622,  -1.0146,   0.0794,   5.7530,   2.6984,   0.8929,  -0.2989,  -0.4236,  -3.5345,   2.26,  -2.60,  -2.44,  -1.48,   2.59,  -0.12,   1.95,  -0.58,   1.70,   5.41
192705,    5.44,    1.41,    4.93,    0.30,   2.96,   9.0109,   9.0399,   1.0376,  16.3651,  10.0697,   7.6684,   2.4486,   5.4286,   8.7178,  13.4530,   3.0289,   6.6737,   6.0863,   7.1403,  12.9147,   4.8501,   6.1769,   3.8321,   7.1732,   7.7199,   5.6929,   4.6786,   5.5318,   5.4185,   4.7762,   3.98,   4.39,   5.95,   3.14,   6.25,   5.91,   4.64,   6.56,   8.16,   6.24
192706,   -2.34,    0.47,   -1.53,    0.26,   0.53,  -3.6452,  12.1487,  -6.8399,  -2.1321,  -4.4903,   3.4836,   3.1417,   4.5660,  -0.4032,  -6.3846,  -0.6943,  -3.6414,  -1.0473,  -0.0329,   1.7373,   1.0302,  -3.2201,  -3.5319,  -2.2869,   1.9683,  -0.0607,  -3.1371,  -2.7494,  -3.0453,  -5.3613,  -3.43,  -3.80,  -3.22,  -2.65,  -2.26,  -1.84,  -1.92,  -1.59,  -2.37,  -1.58
192707,    7.26,   -3.23,   -1.16,    0.30,   4.29,  24.4089,  11.6607,   4.6663,   2.1155,   5.4903,   5.6673,   6.9927,   4.0996,   7.4765,   4.0386,   2.7386,   5.8245,   6.0807,   2.6231,   8.8516,   6.7430,   6.9138,   7.0503,   7.5109,   1.4324,  11.3288,   5.7944,   6.6541,   8.5879,  13.4463,   4.20,   4.55,   4.25,   5.08,   8.33,   6.97,   8.53,   6.94,   6.48,  13.07
192708,    1.97,   -0.72,   -3.69,    0.28,   1.14,  11.7732,   3.7427,   0.7960,  -0.8622,   1.3677,   0.9771,  -2.6027,  -1.7730,   0.7080,   5.1792,   0.3843,   2.0226,   2.6592,  -2.6535,  -5.4249,   4.8641,   3.5513,   0.9982,  -2.6278,  -6.3110,   5.5475,   1.2272,   0.4897,   0.8744,   3.9099,  -0.55,   0.37,   1.41,   1.64,   2.40,   1.61,   2.34,   2.56,   0.41,   5.52
192709,    4.76,   -3.57,   -0.71,    0.21,   1.89,  -4.9477,  -6.1671,   0.5161,  -0.4313,   0.6835,   2.7947,   7.9706,   3.3378,   1.4024,  -1.0265,   3.4372,   0.1308,   1.4113,   2.1660,   9.2306,   4.1889,   3.1316,   4.9157,   4.2554,   9.8708,   6.1583,   4.0775,   5.5837,   3.9928,   5.5923,  -0.26,   3.07,   3.31,   4.36,   4.16,   5.11,   4.69,   3.80,   5.73,   7.38
192710,   -4.31,    2.13,   -4.33,    0.25,  -1.08,  -8.8937,  -9.5653,  -2.2257,  -4.3552, -10.1170,   2.3056,  -1.0019,   0.1023,  -3.7709,  -4.3916,  -0.6665,  -1.6297,   0.1021,  -3.9830, -10.0271,   0.5125,  -1.9353,  -2.6703,  -4.7038, -11.7810,  -5.0438,  -2.2322,  -4.1542,  -6.4498, -14.5457,  -6.03,  -3.08,  -1.87,  -3.07,  -3.24,  -3.59,  -3.25,  -5.23,  -5.24,  -6.04
192711,    6.58,    2.76,   -0.31,    0.21,  -0.67,   6.8966,  13.8113,  16.5300,   8.2770,  12.1263,  14.1996,  15.1979,   8.1785,   9.4652,   8.4672,   6.3767,   8.6450,   8.9856,   6.2134,   9.8739,   7.6668,   8.4366,   7.6681,   7.7686,   8.1010,   7.0786,   6.5042,   5.9958,   7.0421,   8.0776,  13.70,   6.06,   5.26,   6.42,   6.00,   5.01,   7.12,   7.79,  10.37,   6.37
