date,SP_PI,SP_RI,TR10Y_RI,TR3M_RI,CPI,INF_EXP,SP,E,D,CAPE,PAY,10Y,3M,CORP,B2P,NTIS,BAA_AAA,CORP_RTN,CAY_PCT,SENT
1871-01-31,4.4389,0.018285551,11.5090813,18.5996348,,,4.44,0.4,0.26,,0.65,0.0532,,,,,,,,
1871-02-28,4.5011,0.018626902,11.6717153,18.6771333,,,4.5,0.4,0.26,,0.65,0.053233333,,,,,,-0.004230464,,
1871-03-31,4.613,0.019175406,11.8992989,18.7549547,,,4.61,0.4,0.26,,0.65,0.053266667,,,,,,-0.011471815,,
1871-04-30,4.7498,0.019829945,11.9964636,18.8331003,,,4.74,0.4,0.26,,0.65,0.0533,,,,,,-0.000156351,,
1871-05-31,4.8617,0.020383718,12.0224435,18.9115716,,,4.86,0.4,0.26,,0.65,0.053333333,,,,,,0.008140628,,
1871-06-30,4.8244,0.020312116,12.0094536,18.9903698,,,4.82,0.4,0.26,,0.65,0.053366667,,,,,,0.008278792,,
1871-07-31,4.7374,0.020031754,12.1694873,19.0694963,,,4.73,0.4,0.26,,0.65,0.0534,,,,,,-0.006204304,,
1871-08-31,4.7871,0.020328947,12.30925,19.1489526,,,4.79,0.4,0.26,,0.65,0.053433333,,,,,,-0.002396759,,
1871-09-30,4.8368,0.020627299,12.30925,19.2287399,,,4.84,0.4,0.26,,0.65,0.053466667,,,,,,0.008239095,,
1871-10-31,4.5881,0.019654402,12.002519,19.3088596,,,4.59,0.4,0.26,,0.65,0.0535,,,,,,0.021628644,,
1871-11-30,4.6379,0.019955814,11.9961176,19.3893132,,,4.64,0.4,0.26,,0.65,0.053533333,,,,,,0.003443396,,
1871-12-31,4.7498,0.020526367,12.1828235,19.470102,8.5192,,4.74,0.4,0.26,,0.65,0.053566667,,,,,,-0.004808696,,
1872-01-31,4.8617,0.021105541,12.6276679,19.5350023,,,4.86,0.4025,0.2633,,0.654161491,0.0536,,,,,,-0.014534277,,
1872-02-29,4.8866,0.021309274,12.5252221,19.600119,,,4.88,0.405,0.2667,,0.658518519,0.053783333,,,,,,0.017145807,,
1872-03-31,5.0358,0.02205634,12.5728841,19.6654528,,,5.04,0.4075,0.27,,0.662576687,0.053966667,,,,,,-0.003787463,,
1872-04-30,5.185,0.022807096,12.7032695,19.7310043,,,5.18,0.41,0.2733,,0.666585366,0.05415,,,,,,-0.003071474,,
1872-05-31,5.185,0.022904596,12.7991412,19.7967743,,,5.18,0.4125,0.2767,,0.670787879,0.054333333,,,,,,-0.001281781,,
1872-06-30,5.1352,0.022782717,12.56631,19.8627635,,,5.13,0.415,0.28,,0.674698795,0.054516667,,,,,,0.027596379,,
1872-07-31,5.0979,0.022715617,12.9038424,19.9289727,,,5.1,0.4175,0.2833,,0.678562874,0.0547,,,,,,-0.014128659,,
1872-08-31,5.0358,0.022549606,12.755891,19.9954026,,,5.04,0.42,0.2867,,0.682619048,0.054883333,,,,,,0.012307295,,
1872-09-30,4.9612,0.022330708,12.6293165,20.062054,,,4.95,0.4225,0.29,,0.686390533,0.055066667,,,,,,0.010906359,,
1872-10-31,4.9736,0.022503118,12.6574442,20.1289275,,,4.97,0.425,0.2933,,0.690117647,0.05525,,,,,,0.000521852,,
1872-11-30,4.9612,0.022561307,12.8121463,20.1960239,,,4.95,0.4275,0.2967,,0.694035088,0.055433333,,,,,,-0.009560617,,
1872-12-31,5.0731,0.023186105,12.6788212,20.263344,8.6149,,5.07,0.43,0.3,,0.697674419,0.055616667,,,,,,0.015826882,,
1873-01-31,5.1104,0.023469277,13.1845173,20.3308885,,,5.11,0.4325,0.3025,,0.699421965,0.0558,,,,,,-0.027706973,,
1873-02-28,5.1601,0.02381285,13.2781434,20.3986581,,,5.15,0.435,0.305,,0.701149425,0.055708333,,,,,,0.000506028,,
1873-03-31,5.1104,0.023707111,13.2134143,20.4666536,,,5.11,0.4375,0.3075,,0.702857143,0.055616667,,,,,,0.010085413,,
1873-04-30,5.0358,0.02349128,13.1336587,20.5348758,,,5.04,0.44,0.31,,0.704545455,0.055525,,,,,,0.010039246,,
1873-05-31,5.0482,0.02368041,13.3648342,20.6033254,,,5.05,0.4425,0.3125,,0.706214689,0.055433333,,,,,,-0.009762691,,
