date,SMB,HML,Mkt,lagMkt,lagSMB,lagHML
1926-07-02,-0.3200,-0.0800,0.4590,0.1090,-0.2400,-0.2800
1926-07-06,0.2700,-0.3500,0.1790,0.4590,-0.3200,-0.0800
1926-07-07,-0.5900,0.0300,0.0990,0.1790,0.2700,-0.3500
1926-07-08,-0.3600,0.1500,0.2190,0.0990,-0.5900,0.0300
1926-07-09,0.4400,0.5600,-0.7010,0.2190,-0.3600,0.1500
1926-07-10,-0.5000,-0.1500,0.6290,-0.7010,0.4400,0.5600
1926-07-12,0.0300,0.5400,0.0490,0.6290,-0.5000,-0.1500
1926-07-13,-0.2600,-0.2300,0.4890,0.0490,0.0300,0.5400
1926-07-14,0.0900,-0.4800,0.0490,0.4890,-0.2600,-0.2300
1926-07-15,0.5400,-0.3000,-0.4210,0.0490,0.0900,-0.4800
1926-07-16,0.0100,-0.5700,0.5390,-0.4210,0.5400,-0.3000
1926-07-17,0.4300,-0.6300,0.3490,0.5390,0.0100,-0.5700
1926-07-19,0.0100,-0.4900,-0.0010,0.3490,0.4300,-0.6300
1926-07-20,-0.2300,0.1600,-0.5610,-0.0010,0.0100,-0.4900
1926-07-21,0.2100,0.3100,-0.5910,-0.5610,-0.2300,0.1600
1926-07-22,-0.3000,-0.1700,-0.7210,-0.5910,0.2100,0.3100
1926-07-23,0.0800,0.0600,-0.0110,-0.7210,-0.3000,-0.1700
1926-07-24,0.4400,-0.0600,-0.1310,-0.0110,0.0800,0.0600
1926-07-26,-0.3800,-0.2500,0.5390,-0.1310,0.4400,-0.0600
1926-07-27,-0.4500,0.2600,0.4390,0.5390,-0.3800,-0.2500
1926-07-28,0.0400,-0.2800,1.0990,0.4390,-0.4500,0.2600
1926-07-29,-0.6100,-1.0100,0.3690,1.0990,0.0400,-0.2800
1926-07-30,-0.4700,0.5500,0.1490,0.3690,-0.6100,-1.0100
1926-07-31,-0.1200,-0.1700,0.4690,0.1490,-0.4700,0.5500
1926-08-02,-0.2200,-0.0300,0.8500,0.4690,-0.1200,-0.1700
1926-08-03,-0.2700,-0.6000,0.4800,0.8500,-0.2200,-0.0300
1926-08-04,0.1600,0.2500,-0.3500,0.4800,-0.2700,-0.6000
1926-08-05,0.0100,0.7300,-0.0800,-0.3500,0.1600,0.2500
1926-08-06,0.0800,0.1600,0.6900,-0.0800,0.0100,0.7300
1926-08-07,0.0800,-0.2400,0.4700,0.6900,0.0800,0.1600
1926-08-09,-0.0400,-0.2600,0.2200,0.4700,0.0800,-0.2400
1926-08-10,0.3400,0.2100,-1.3900,0.2200,-0.0400,-0.2600
1926-08-11,0.2100,0.3400,-0.5600,-1.3900,0.3400,0.2100
1926-08-12,-0.7700,0.4200,0.8500,-0.5600,0.2100,0.3400
1926-08-13,-0.8500,0.2500,0.5900,0.8500,-0.7700,0.4200
1926-08-14,0.1500,-0.3600,0.7000,0.5900,-0.8500,0.2500
1926-08-16,0.2300,0.7000,0.0800,0.7000,0.1500,-0.3600
1926-08-17,0.3400,0.1600,-0.9400,0.0800,0.2300,0.7000
1926-08-18,0.0800,0.0400,0.2700,-0.9400,0.3400,0.1600
1926-08-19,0.1200,0.1000,-0.5900,0.2700,0.0800,0.0400
1926-08-20,-0.3600,0.4200,-0.1900,-0.5900,0.1200,0.1000
1926-08-21,-0.0600,0.4900,0.3300,-0.1900,-0.3600,0.4200
1926-08-23,-0.4800,0.6200,0.5000,0.3300,-0.0600,0.4900
1926-08-24,0.5000,-0.0900,-0.8300,0.5000,-0.4800,0.6200
1926-08-25,-0.4300,0.2800,-0.3100,-0.8300,0.5000,-0.0900
1926-08-26,0.0900,0.5000,0.5400,-0.3100,-0.4300,0.2800
1926-08-27,0.1300,-0.3900,0.3600,0.5400,0.0900,0.5000
1926-08-28,0.1500,-0.0600,0.3500,0.3600,0.1300,-0.3900
1926-08-30,0.0000,0.4200,0.3100,0.3500,0.1500,-0.0600
1926-08-31,-0.5200,-0.0400,0.5900,0.3100,0.0000,0.4200
1926-09-01,0.5200,-0.0800,0.5590,0.5900,-0.5200,-0.0400
1926-09-02,-0.0700,0.2100,-0.0510,0.5590,0.5200,-0.0800
1926-09-03,-0.3000,0.0300,0.5090,-0.0510,-0.0700,0.2100
1926-09-07,-0.2500,-0.2400,0.5990,0.5090,-0.3000,0.0300
1926-09-08,-0.1000,0.0800,-0.5010,0.5990,-0.2500,-0.2400
1926-09-09,0.1600,0.2600,-0.0610,-0.5010,-0.1000,0.0800
1926-09-10,0.0900,-0.1300,-0.8210,-0.0610,0.1600,0.2600
1926-09-11,0.3200,0.1300,-0.4310,-0.8210,0.0900,-0.1300
1926-09-13,-0.1100,0.5000,-0.0210,-0.4310,0.3200,0.1300
1926-09-14,-0.6200,0.0900,0.9090,-0.0210,-0.1100,0.5000
1926-09-15,0.4000,-0.1900,-0.2010,0.9090,-0.6200,0.0900
1926-09-16,-0.3300,0.1000,-0.1710,-0.2010,0.4000,-0.1900
1926-09-17,-0.1600,-0.2800,-1.0010,-0.1710,-0.3300,0.1000
1926-09-18,-0.2800,-0.1100,0.7090,-1.0010,-0.1600,-0.2800
1926-09-20,0.0300,-0.0100,-0.6310,0.7090,-0.2800,-0.1100
1926-09-21,-0.4200,0.1900,0.3090,-0.6310,0.0300,-0.0100
1926-09-22,0.0500,-0.0100,-0.1210,0.3090,-0.4200,0.1900
1926-09-23,-0.1600,0.0600,0.2690,-0.1210,0.0500,-0.0100
